number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
40,0.2966268953426977,COMPLETE,2.8974903796445606,0.15244873428794112,0.0002216381042651369,0.0005298332806618067,0.271744694281932,1.3771612404723504e-05,0.2966268953426977,6.0,"[0.8888888888888888, 0.8888888888888888, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.24891214677134124, 0.18283866613291544, 0.30594650138692714, 0.49682760691037303, 0.24860955551193192]","[0.20892135550704716, 0.08481681139331382, 0.1694709042005678, 0.22210510889999568, 0.24860955551193192]",
41,0.33626415548663247,COMPLETE,2.310328003071358,0.39304416553791355,0.00048525707251960876,3.604347342036615e-05,0.4950720922759986,2.625048690136693e-06,0.33626415548663247,7.0,"[0.8333333333333334, 0.8333333333333334, 0.9473684210526315, 0.8947368421052632, 0.7368421052631579]","[0.41734956699009573, 0.25881269240643534, 0.216816080648354, 0.34753538853807475, 0.44080704885020267]","[0.35085288383419944, 0.11928623365247087, 0.216816080648354, 0.34753538853807475, 0.20838828268709844]",
42,0.28349332968509444,COMPLETE,2.0116569848366646,0.44621728698358043,0.0006479917997508828,4.9302482780559985e-05,0.480859179269089,1.5675947983962765e-06,0.28349332968509444,7.0,"[0.8333333333333334, 0.8333333333333334, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.3487364837217481, 0.27889850045642106, 0.20158932685597775, 0.3688851325429201, 0.2193572048484049]","[0.276877109515125, 0.22124755405244892, 0.08898768699727473, 0.34001490035045306, 0.12967694060161625]",
43,0.33401942157999437,COMPLETE,2.3870910840779636,0.3590881434054663,0.0005595484235553926,7.330087293053345e-05,0.4376120241297468,3.426001603160074e-06,0.33401942157999437,4.0,"[0.7777777777777778, 0.7222222222222222, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.4019656923426535, 0.44032347579276476, 0.24434224091850124, 0.33869515002496836, 0.24477054882108382]","[0.3899245585648114, 0.2985887236168815, 0.2017412839650834, 0.3182704311452414, 0.15154811502275392]",
44,0.27421234910233716,COMPLETE,2.1373045988927197,0.34403861923593737,0.0003052622984912953,4.025986335906374e-05,0.4097666065446136,5.390588203129682e-06,0.27421234910233716,10.0,"[0.8888888888888888, 0.8888888888888888, 0.9473684210526315, 0.9473684210526315, 0.8947368421052632]","[0.23368107669759614, 0.22786713728803282, 0.13131201391211347, 0.4014518883512473, 0.3767496292626962]","[0.23175792593199024, 0.20021147373720144, 0.11298041878901706, 0.359421771509867, 0.22692711518213496]",
45,0.3064223952490249,COMPLETE,2.271960832448176,0.48264118108525256,0.0008869439525017179,9.236206930668579e-05,0.520598892565349,2.6161188915213232e-06,0.3064223952490249,6.0,"[0.9444444444444444, 0.7777777777777778, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.18988523726577317, 0.41301108748338794, 0.16948727851673825, 0.5008291166924257, 0.2588992562867995]","[0.028286459265736932, 0.313058721108569, 0.16948727851673825, 0.3451703560391539, 0.12079736470577424]",
46,0.5162505267573706,PRUNED,3.125933926444803,0.3884358077028255,0.0013906527298756125,0.00030187305330499706,0.4559947679918652,1.5190328924439336e-06,,,,,,7.0
47,0.31601667999196276,COMPLETE,2.525344902381664,0.4359371488725663,0.0021708092063307534,6.814707422371888e-05,0.4880977391180704,0.00014098516926563598,0.31601667999196276,8.0,"[0.8333333333333334, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.9473684210526315]","[0.33208471680462837, 0.32753133532906037, 0.1984148823484319, 0.5269075733826627, 0.19514489209503058]","[0.33208471680462837, 0.2284653362256045, 0.1984148823484319, 0.3154362712674284, 0.16895136101759003]",
48,0.2831993627457162,COMPLETE,2.6671563660856465,0.173578382089689,0.00014749232846016216,5.404788559185059e-05,0.3630828604806021,1.3908345579227088e-05,0.2831993627457162,7.0,"[0.9444444444444444, 0.8333333333333334, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.24828373085013786, 0.2586649108043591, 0.17712570547861392, 0.5594203587358941, 0.17250210785957615]","[0.2248471535405972, 0.16036812420566093, 0.13148654577978386, 0.3492998518049717, 0.17250210785957615]",
49,0.24728257548647115,COMPLETE,2.186441453926653,0.3053552848570333,0.00039502640374824744,3.4385430529140865e-05,0.32609597455265854,6.696356650954418e-05,0.24728257548647115,11.0,"[0.7777777777777778, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.3388584610292027, 0.12908489549240837, 0.12008118978797268, 0.44428047979585916, 0.2041078513269129]","[0.3045177209401623, 0.08878633502321283, 0.09778529954363828, 0.3679424577245587, 0.18222117301708127]",
50,0.5094837883962671,PRUNED,2.369741859139607,0.3387968456262426,8.53923019023489e-05,0.0001592982505293657,0.5499201871160303,0.0002264647382619729,,,,,,7.0
51,0.2994604015578596,COMPLETE,2.2144328925733117,0.30465072049235653,0.0003715067009085604,3.56549351452352e-05,0.32950509140188433,6.870591597162731e-05,0.2994604015578596,8.0,"[0.9444444444444444, 0.8888888888888888, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947]","[0.28769776783913886, 0.2389633592380657, 0.24885524843825566, 0.488007675576036, 0.23377795669780185]","[0.28574473998423855, 0.16645146464927368, 0.14743289186580305, 0.3556436731096734, 0.20398087672104961]",
52,0.3103804590754903,COMPLETE,2.1404309693076686,0.40472572799256346,0.0008791578583680211,4.832159757878871e-05,0.28944227111173715,0.001199645725271258,0.3103804590754903,8.0,"[0.8333333333333334, 0.9444444444444444, 0.9473684210526315, 0.7894736842105263, 0.8947368421052632]","[0.42650082679776663, 0.1694503490102256, 0.18924761106839133, 0.4950262882033904, 0.2716772202976771]","[0.29164834306478343, 0.1694503490102256, 0.18902307896848325, 0.3602216078556682, 0.213645174560952]",
53,0.30545676035779157,COMPLETE,2.0545187761652213,0.2795086304970376,0.00025372805491084176,3.5101998132312e-05,0.40091538519450015,0.00045538394948196697,0.30545676035779157,9.0,"[0.8888888888888888, 0.8888888888888888, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.27259209359484277, 0.1695981712333984, 0.2426231457511676, 0.5762952782634353, 0.2661751129461137]","[0.27259209359484277, 0.1093327134129625, 0.15062970072578633, 0.34801789592510385, 0.2179484478210246]",
54,0.3053504536799526,COMPLETE,2.2236488871003703,0.2443242516015124,0.00039405024058454123,4.1033685315616835e-05,0.3220124413768144,0.00014057160631541178,0.3053504536799526,5.0,"[0.8333333333333334, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315]","[0.35739197562684744, 0.20793747816060204, 0.23846187873890526, 0.4648790894073165, 0.2580818464660919]","[0.21624600343440964, 0.19571009019268082, 0.20642898128196402, 0.3605795239931659, 0.17490137992081145]",
55,0.35097974758253425,PRUNED,2.083379826659389,0.37398378786307385,0.0006462808008860036,3.156442988038145e-05,0.35094567824467227,3.413118462643451e-05,,,,,,7.0
56,0.24845142907667933,COMPLETE,2.0018564496053077,0.1788085419058664,0.00011182556142879211,6.119974778535319e-05,0.5285814032700058,0.0002834136550429495,0.24845142907667933,4.0,"[0.8888888888888888, 0.9444444444444444, 0.8421052631578947, 0.8947368421052632, 0.9473684210526315]","[0.2295774873669466, 0.19309598521148372, 0.23491596736283482, 0.33378097675679447, 0.25088672868533696]","[0.08509057528086335, 0.16058421967698816, 0.23067120392308402, 0.31847189854995933, 0.2095315831661298]",
57,0.43783967753775216,PRUNED,3.7399766469981763,0.20483743852874559,0.00016120967389417933,0.0004030443067484291,0.4985679749412488,9.041783743747632e-06,,,,,,7.0
58,0.46993221408255187,PRUNED,2.16228194500169,0.24056034379991148,6.069345279803617e-05,0.0001066076998740876,0.4710689134473122,3.3264413677274673e-06,,,,,,7.0
59,0.3197302494755433,COMPLETE,2.2962618346168555,0.42814121223764484,0.00026883108818832803,6.431699118524884e-05,0.2526830645449608,5.555208830495633e-06,0.3197302494755433,7.0,"[0.7777777777777778, 0.8333333333333334, 0.9473684210526315, 0.8421052631578947, 0.9473684210526315]","[0.43223814435254504, 0.3547083727694498, 0.1845418995638427, 0.4628781256928242, 0.16428470499905465]","[0.38730158398296527, 0.23476160081433287, 0.17441549943913215, 0.39736910009952753, 0.16097274804993553]",
